"","ID","Week_Collected","Tag.Number","Bag_Number","Shore_or_Water","Species","End_Mass","FinalDriedMass","Sarg_LitterBag","ChangeWetMass","EndWetDryChange","TotalMassChange","log","square","root"
"1","1 Shore Fluitans","One","",1,"Shore","Fluitans",6.671,5.693,36.495,29.824,0.978,30.802,3.42757962293627,948.763204,5.54995495477216
"2","1 Shore Natans 1","One","",1,"Shore","Natans 1",5.626,4.867,39.748,34.122,0.758999999999999,34.881,3.55194226835458,1216.684161,5.90601388416925
"3","1 Shore Natans 8","One","",1,"Shore","Natans 8",7.747,6.717,40.129,32.382,1.03,33.412,3.50891511689366,1116.361744,5.78031141029616
"4","1 Water Fluitans","One","",1,"Water","Fluitans",32.451,6.006,40.534,8.083,26.445,34.528,3.54177058907572,1192.182784,5.87605309710523
"5","1 Water Natans 1","One","",1,"Water","Natans 1",11.073,1.931,39.475,28.402,9.142,37.544,3.62551357849212,1409.551936,6.1273158887069
"6","1 Water Natans 8","One","",1,"Water","Natans 8",34.988,6.844,39.916,4.928,28.144,33.072,3.49868700293941,1093.757184,5.75082602762421
"7","10 Water Natans 1","One","B95",10,"Water","Natans 1",14.145,2.401,39.742,25.597,11.744,37.341,3.62009191868695,1394.350281,6.11072827083646
"8","11 Shore Natans 1","One","G39",11,"Shore","Natans 1",15.432,4.988,39.337,23.905,10.444,34.349,3.53657290616308,1179.853801,5.86080199290165
"9","13 Shore Fluitans","One","",13,"Shore","Fluitans",7.44,6.414,37.494,30.054,1.026,31.08,3.43656452549945,965.9664,5.57494394590654
"10","13 Shore Natans 8","One","",13,"Shore","Natans 8",7.122,6.16,37.184,30.062,0.962,31.024,3.4347610985003,962.488576,5.56991920946794
"11","14 Shore Fluitans","One","",14,"Shore","Fluitans",6.37,5.504,36.06,29.69,0.866,30.556,3.41956106567911,933.669136,5.52774818529209
"12","14 Shore Natans 8","One","",14,"Shore","Natans 8",4.159,3.542,37.106,32.947,0.617,33.564,3.51345406400782,1126.542096,5.79344457123739
"13","14 Water Fluitans","One","",14,"Water","Fluitans",23.63,4.224,40.651,17.021,19.406,36.427,3.59531025791777,1326.926329,6.03547844002445
"14","14 Water Natans 8","One","",14,"Water","Natans 8",43.74,8.757,39.927,-3.813,34.983,31.17,3.43945609377925,971.5689,5.58300994088314
"15","15 Water Fluitans","One","",15,"Water","Fluitans",37.11,7.605,40.562,3.452,29.505,32.957,3.49520368148128,1086.163849,5.74081875693703
"16","15 Water Natans 1","One","B58",15,"Water","Natans 1",12.339,2.459,39.468,27.129,9.88,37.009,3.61116112630863,1369.666081,6.083502280759
"17","15 Water Natans 8","One","",15,"Water","Natans 8",26.712,4.694,40.151,13.439,22.018,35.457,3.56832069469821,1257.198849,5.95457807069485
"18","16 Water Fluitans","One","B70",16,"Water","Fluitans",17.33,3.037,39.996,22.666,14.293,36.959,3.6098091901304,1365.967681,6.07939141691008
"19","16 Water Natans 8","One","B49",16,"Water","Natans 8",39.469,8.138,39.667,0.198,31.331,31.529,3.45090775722781,994.077841,5.61506901115204
"20","17 Shore Fluitans","One","G35",17,"Shore","Fluitans",19.785,3.544,39.484,19.699,16.241,35.94,3.58185088135541,1291.6836,5.99499791492875
"21","17 Shore Natans 8","One","G98",17,"Shore","Natans 8",27.058,5.661,40.187,13.129,21.397,34.526,3.54171266339436,1192.044676,5.87588291238006
"22","17 Water Natans 1","One","B48",17,"Water","Natans 1",10.856,2.125,40.335,29.479,8.731,38.21,3.64309726145881,1460.0041,6.18142378421024
"23","2 Water Fluitans","One","",2,"Water","Fluitans",31.108,5.96,39.494,8.386,25.148,33.534,3.51255984951562,1124.529156,5.79085485917235
"24","2 Water Natans 1","One","",2,"Water","Natans 1",10.958,2.069,40.076,29.118,8.889,38.007,3.63777035328803,1444.532049,6.16498175179781
"25","2 Water Natans 8","One","",2,"Water","Natans 8",28.509,5.448,39.944,11.435,23.061,34.496,3.54084337528653,1189.974016,5.87332954975285
"26","21 Water Fluitans","One","B27",21,"Water","Fluitans",18.297,3.221,39.518,21.221,15.076,36.297,3.59173509322745,1317.472209,6.02469916261385
"27","21 Water Natans 8","One","B60",21,"Water","Natans 8",37.891,7.225,38.234,0.343000000000004,30.666,31.009,3.43427748493035,961.558081,5.56857252803625
"28","23 Water Fluitans","One","B82",23,"Water","Fluitans",16.463,2.911,39.279,22.816,13.552,36.368,3.59368926711019,1322.631424,6.03058869431501
"29","23 Water Natans 8","One","B44",23,"Water","Natans 8",34.648,6.581,38.896,4.248,28.067,32.315,3.47553151871486,1044.259225,5.68462839594639
"30","25 Shore Fluitans","One","G60",25,"Shore","Fluitans",13.723,2.037,39.102,25.379,11.686,37.065,3.61267312810868,1373.814225,6.08810315287118
"31","27 Water Fluitans","One","B84",27,"Water","Fluitans",28.959,5.76,39.272,10.313,23.199,33.512,3.51190358364473,1123.054144,5.78895500068881
"32","27 Water Natans 8","One","B62",27,"Water","Natans 8",39.484,8.334,39.444,-0.0399999999999991,31.15,31.11,3.43752931090955,967.8321,5.57763390695374
"33","29 Shore Fluitans","One","G51",29,"Shore","Fluitans",6.879,4.647,39.289,32.41,2.232,34.642,3.54506681874809,1200.068164,5.88574549228898
"34","30 Water Fluitans","One","B85",30,"Water","Fluitans",21.385,3.831,39.498,18.113,17.554,35.667,3.57422589154452,1272.134889,5.97218552960304
"35","4 Water Fluitans","One","",4,"Water","Fluitans",22.752,3.74,39.715,16.963,19.012,35.975,3.58282425277343,1294.200625,5.99791630485121
"36","4 Water Natans 1","One","",4,"Water","Natans 1",16.833,2.997,40.322,23.489,13.836,37.325,3.61966334342525,1393.155625,6.10941895764237
"37","4 Water Natans 8","One","",4,"Water","Natans 8",35.468,6.744,40.842,5.374,28.724,34.098,3.52923873154304,1162.673604,5.83934927881523
"38","9 Shore Fluitans","One","",9,"Shore","Fluitans",7.519,6.447,37.198,29.679,1.072,30.751,3.42592251404896,945.624001,5.54535841943512
"39","9 Shore Natans 1","One","",9,"Shore","Natans 1",6.142,5.38,34.785,28.643,0.762,29.405,3.38116472791192,864.654025,5.42263773453473
"40","9 Shore Natans 8","One","",9,"Shore","Natans 8",7.2,6.3,39.215,32.015,0.899999999999999,32.915,3.49392848091984,1083.397225,5.73715957595743
